"School","Year","Games","Wins","Losses","Ties","Preseason Rank","Postseason Rank","Srs","Sp Overall","Sp Offense","Sp Defense","First Name","Last Name","Hire Date"
"Maryland","2016","13","6","7","0","","","-0.8","-0.6","28.7","28.1","D.J.","Durkin",""
"Maryland","2017","12","4","8","0","","","-0.8","-4.5","26.7","28.3","D.J.","Durkin",""
"Louisiana Tech","2010","12","5","7","0","","","-5.5","-7.4","23.9","33","Sonny","Dykes",""
"Louisiana Tech","2011","13","8","5","0","","","5.0","1.9","23.6","22.9","Sonny","Dykes",""
"Louisiana Tech","2012","12","9","3","0","","","5.6","0.2","39.4","39.7","Sonny","Dykes",""
"California","2013","12","1","11","0","","","-10.3","-8.7","27.7","37.1","Sonny","Dykes",""
"California","2014","12","5","7","0","","","2.5","-0.6","36.6","36.3","Sonny","Dykes",""
"California","2015","13","8","5","0","","","11.0","12.1","41.3","29.5","Sonny","Dykes",""
"California","2016","12","5","7","0","","","2.0","2.4","38.4","36.3","Sonny","Dykes",""
"SMU","2018","12","5","7","0","","","-9.4","-5.4","24","29.7","Sonny","Dykes",""
"SMU","2019","13","10","3","0","","","7.7","4.4","34.6","28.3","Sonny","Dykes",""
"SMU","2020","10","7","3","0","","","","","","","Sonny","Dykes",""
"SMU","2021","12","8","4","0","","","6.1","8.9","36.7","27.1","Sonny","Dykes",""
"TCU","2022","15","13","2","0","","2","16.7","24.3","43.3","20.2","Sonny","Dykes",""
"TCU","2023","12","5","7","0","17","","8.6","7.9","33.5","25.3","Sonny","Dykes",""
"Connecticut","2001","11","2","9","0","","","-20.9","-25.1","19.1","40.8","Randy","Edsall",""
"Connecticut","2002","12","6","6","0","","","0.0","-3.9","29.9","33.5","Randy","Edsall",""
"Connecticut","2003","12","9","3","0","","","3.9","-1.8","35.7","36.8","Randy","Edsall",""
"Connecticut","2004","12","8","4","0","","","1.1","-0.4","30.5","31.7","Randy","Edsall",""
"Connecticut","2005","11","5","6","0","","","-0.2","1.4","18.8","17.4","Randy","Edsall",""
"Connecticut","2006","12","4","8","0","","","-5.2","-2.9","20.8","22.2","Randy","Edsall",""
"Connecticut","2007","13","9","4","0","","","7.8","8.5","26.9","18.3","Randy","Edsall",""
"Connecticut","2008","13","8","5","0","","","4.7","4.9","22.3","18.3","Randy","Edsall",""
"Connecticut","2009","13","8","5","0","","","8.7","5.4","30.3","24.8","Randy","Edsall",""
"Connecticut","2010","13","8","5","0","","","-1.3","-3.6","17.9","22.4","Randy","Edsall",""
"Maryland","2011","12","2","10","0","","","-11.1","-8","26.6","32.8","Randy","Edsall",""
"Maryland","2012","12","4","8","0","","","-6.8","-7.8","17.6","23.3","Randy","Edsall",""
"Maryland","2013","13","7","6","0","","","0.0","10.8","29.6","19.8","Randy","Edsall",""
"Maryland","2014","13","7","6","0","","","0.9","5.7","30.4","26.1","Randy","Edsall",""
"Maryland","2015","6","2","4","0","","","-4.0","-1.6","26.1","26.5","Randy","Edsall",""
"Connecticut","2017","12","3","9","0","","","-13.5","-19.2","22.4","40.7","Randy","Edsall",""
"Connecticut","2018","12","1","11","0","","","-27.9","-26.4","24.7","51.9","Randy","Edsall",""
"Connecticut","2019","12","2","10","0","","","-23.2","-24.4","16.2","39.7","Randy","Edsall",""
"Connecticut","2020","0","0","0","0","","","","","","","Randy","Edsall",""
"Connecticut","2021","2","0","2","0","","","-21.4","-25.6","12.7","36.8","Randy","Edsall",""
"Arizona State","2018","13","7","6","0","","","4.4","5","33.9","30.4","Herm","Edwards","2017-12-03T00:00:00.000Z"
"Arizona State","2019","13","8","5","0","","","5.7","6.3","28","23.7","Herm","Edwards","2017-12-03T00:00:00.000Z"
"Arizona State","2020","4","2","2","0","","","","","","","Herm","Edwards","2017-12-03T00:00:00.000Z"
"Arizona State","2021","13","8","5","0","25","","8.6","11.8","33.5","20.9","Herm","Edwards","2017-12-03T00:00:00.000Z"
"Arizona State","2022","3","1","2","0","","","-3.9","-4.1","30.5","35.7","Herm","Edwards","2017-12-03T00:00:00.000Z"
"Duke","2022","13","9","4","0","","","7.0","5","29.4","24.7","Mike","Elko","2021-12-10T00:00:00.000Z"
"Duke","2023","12","7","5","0","","","9.8","9.4","27.3","19.5","Mike","Elko","2021-12-10T00:00:00.000Z"
"Army","2009","12","5","7","0","","","-14.6","-21.7","6.5","27.7","Rich","Ellerson",""
"Army","2010","13","7","6","0","","","-4.8","-14.6","19","33.9","Rich","Ellerson",""
"Army","2011","12","3","9","0","","","-10.2","-20.9","19.9","37.7","Rich","Ellerson",""
"Army","2012","12","2","10","0","","","-16.8","-23.1","23.1","44.8","Rich","Ellerson",""
"Army","2013","12","3","9","0","","","-16.1","-24.6","20.8","44.5","Rich","Ellerson",""
"South Carolina","2015","6","1","5","0","","","1.4","3.4","31.3","28.6","Shawn","Elliott",""
"Georgia State","2017","12","7","5","0","","","-12.6","-14","17","28.6","Shawn","Elliott",""
"Georgia State","2018","12","2","10","0","","","-19.4","-20.4","23.6","43.6","Shawn","Elliott",""
"Georgia State","2019","13","7","6","0","","","-10.3","-10.5","29.4","38.4","Shawn","Elliott",""
"Georgia State","2020","10","6","4","0","","","1.9","-5.7","28.7","34.2","Shawn","Elliott",""
"Georgia State","2021","13","8","5","0","","","-6.6","1.8","27.5","26.7","Shawn","Elliott",""
"Georgia State","2022","12","4","8","0","","","-5.2","-3.3","33.7","38.3","Shawn","Elliott",""
"Georgia State","2023","13","7","6","0","","","-7.7","-6.8","28.2","33.3","Shawn","Elliott",""
"Virginia","2022","10","3","7","0","","","-6.0","-9","16.2","24.4","Tony","Elliott","2021-12-10T00:00:00.000Z"
"Virginia","2023","12","3","9","0","","","-4.4","-10.8","21","31.7","Tony","Elliott","2021-12-10T00:00:00.000Z"
"Western Kentucky","2007","12","7","5","0","","","-13.9","-22.5","15.6","36.3","David","Elson",""
"Western Kentucky","2008","12","2","10","0","","","-22.4","-22.1","12.8","34.2","David","Elson",""
"Western Kentucky","2009","12","0","12","0","","","-22.7","-27.8","17.1","45.3","David","Elson",""
"Colorado","2011","13","3","10","0","","","-10.4","-8.8","26","34.6","Jon","Embree",""
"Colorado","2012","12","1","11","0","","","-17.4","-17.2","20.2","37.5","Jon","Embree",""
"Eastern Michigan","2009","12","0","12","0","","","-27.2","-32.7","11.7","42.3","Ron","English",""
"Eastern Michigan","2010","12","2","10","0","","","-26.1","-29.2","18.2","44.8","Ron","English",""
"Eastern Michigan","2011","12","6","6","0","","","-12.4","-15.3","16.1","31.4","Ron","English",""
"Eastern Michigan","2012","12","2","10","0","","","-20.2","-23","17.9","42.2","Ron","English",""
"Eastern Michigan","2013","9","1","8","0","","","-32.4","-35.7","17.8","50.4","Ron","English",""
"Central Michigan","2010","12","3","9","0","","","-11.1","-14.7","21.9","34.4","Dan","Enos",""
"Central Michigan","2011","12","3","9","0","","","-16.9","-18.9","21.1","39.2","Dan","Enos",""
"Central Michigan","2012","13","7","6","0","","","-14.1","-11.6","28.4","40","Dan","Enos",""
"Central Michigan","2013","12","6","6","0","","","-15.3","-18.8","19.7","37.6","Dan","Enos",""
"Central Michigan","2014","13","7","6","0","","","-7.1","-5.2","26.1","30.2","Dan","Enos",""
"Oregon State","2001","11","5","6","0","11","","3.9","8.8","33.5","26.6","Dennis","Erickson",""
"Oregon State","2002","13","8","5","0","","","13.5","13.4","37.8","25.7","Dennis","Erickson",""
"Idaho","2006","12","4","8","0","","","-17.2","-23.7","14.6","37.2","Dennis","Erickson",""
"Arizona State","2007","13","10","3","0","","16","13.7","12.6","30.3","18.6","Dennis","Erickson",""
"Arizona State","2008","12","5","7","0","15","","2.5","3.4","22.3","19.8","Dennis","Erickson",""
"Arizona State","2009","12","4","8","0","","","0.2","8.2","25.2","15.6","Dennis","Erickson",""
"Arizona State","2010","12","6","6","0","","","14.8","14.6","35.7","21","Dennis","Erickson",""
"Arizona State","2011","13","6","7","0","","","7.6","9.9","36.6","27.9","Dennis","Erickson",""
"Colorado State","2008","13","7","6","0","","","-5.7","-3.3","29.8","33.8","Steve","Fairchild",""
"Colorado State","2009","12","3","9","0","","","-10.7","-4.5","29.7","32.8","Steve","Fairchild",""
"Colorado State","2010","12","3","9","0","","","-15.7","-16.8","20.7","36.7","Steve","Fairchild",""
"Colorado State","2011","12","3","9","0","","","-16.2","-12.6","22.3","34.4","Steve","Fairchild",""
"Southern Mississippi","2008","13","7","6","0","","","-0.3","3.1","31","27","Larry","Fedora",""
"Southern Mississippi","2009","13","7","6","0","","","-0.8","2.4","30.4","27.6","Larry","Fedora",""
"Southern Mississippi","2010","13","8","5","0","","","0.1","5.6","30.2","26.5","Larry","Fedora",""
"Southern Mississippi","2011","14","12","2","0","","20","8.6","12.2","30.8","19.7","Larry","Fedora",""
"North Carolina","2012","12","8","4","0","","","3.4","14.1","39.7","26.6","Larry","Fedora",""
"North Carolina","2013","13","7","6","0","","","6.5","13.7","34.2","21.4","Larry","Fedora",""
"North Carolina","2014","13","6","7","0","23","","-2.3","0","35.8","35.1","Larry","Fedora",""
"North Carolina","2015","14","11","3","0","","15","19.2","20","43.3","25.3","Larry","Fedora",""
"North Carolina","2016","13","8","5","0","22","","10.2","15.9","38.5","24.6","Larry","Fedora",""
"North Carolina","2017","12","3","9","0","","","-2.3","4.3","29.3","25.9","Larry","Fedora",""
"North Carolina","2018","11","2","9","0","","","-6.5","-2.5","29.9","31.9","Larry","Fedora",""
"Iowa","2001","12","7","5","0","","","12.8","14.9","39.4","26.7","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2002","13","11","2","0","","8","18.3","20.7","43.3","25.6","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2003","13","10","3","0","","8","16.1","21.2","36.7","17","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2004","12","10","2","0","19","8","13.1","20","34.4","15.3","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2005","12","7","5","0","11","","15.5","20.9","38.5","17.6","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2006","13","6","7","0","16","","3.3","13.4","32","18.4","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2007","12","6","6","0","","","-2.0","6.5","23.6","16.5","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2008","13","9","4","0","","20","14.2","25.5","35.4","10.9","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2009","13","11","2","0","22","7","11.1","17.3","25.1","8.9","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2010","13","8","5","0","9","","12.2","17","35.9","19.8","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2011","13","7","6","0","","","4.8","12.8","32.4","19.7","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2012","12","4","8","0","","","-3.1","0.5","22.5","22.4","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2013","13","8","5","0","","","9.7","17.3","29.6","12.4","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2014","13","7","6","0","","","3.2","6.8","32.5","24.2","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2015","14","12","2","0","","9","11.1","9.3","30.1","21","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2016","13","8","5","0","17","","11.0","10.3","29","18.9","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2017","13","8","5","0","","","16.3","9.8","28.4","19.4","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2018","13","9","4","0","","","15.4","13.3","30.3","17.7","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2019","13","10","3","0","20","15","15.7","16.7","30","15.2","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2020","8","6","2","0","24","16","15.9","16.3","29.7","13.5","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2021","14","10","4","0","18","23","8.6","11.4","23.6","14.4","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2022","13","8","5","0","","","9.5","12.7","16","5.1","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Iowa","2023","14","10","4","0","25","24","5.7","5.8","13.8","9.3","Kirk","Ferentz","1998-12-02T00:00:00.000Z"
"Ohio State","2011","13","6","7","0","18","","4.9","13.2","28.5","17","Luke","Fickell",""
"Cincinnati","2017","12","4","8","0","","","-12.6","-6.4","23.3","28.2","Luke","Fickell",""
"Cincinnati","2018","13","11","2","0","","","7.3","5.4","28.3","22.6","Luke","Fickell",""
"Cincinnati","2019","14","11","3","0","","21","8.9","9.1","29.1","21.1","Luke","Fickell",""
"Cincinnati","2020","10","9","1","0","20","8","","","","","Luke","Fickell",""
"Cincinnati","2021","14","13","1","0","8","4","16.9","21.2","37.5","15.9","Luke","Fickell",""
"Cincinnati","2022","12","9","3","0","23","","5.7","13.1","27.6","16.1","Luke","Fickell",""
"Wisconsin","2022","1","1","0","0","18","","5.4","8.3","25.7","17.1","Luke","Fickell",""
"Wisconsin","2023","13","7","6","0","19","","4.0","9.4","22.2","14.1","Luke","Fickell",""
"UCLA","2017","2","1","1","0","","","0.8","4.9","39.3","34.5","Jedd","Fisch",""
"Arizona","2021","12","1","11","0","","","-9.2","-12.6","19.2","32.3","Jedd","Fisch",""
"Arizona","2022","12","5","7","0","","","-2.0","-3.2","37.6","41.1","Jedd","Fisch",""
"Arizona","2023","13","10","3","0","","11","13.3","14.1","37.3","23.1","Jedd","Fisch",""
"Florida State","2010","14","10","4","0","20","17","16.1","19.7","34.6","16.9","Jimbo","Fisher",""
"Florida State","2011","13","9","4","0","6","23","13.4","22.8","32.2","12.1","Jimbo","Fisher",""
"Florida State","2012","14","12","2","0","7","10","17.6","30.8","40.8","12.7","Jimbo","Fisher",""
"Florida State","2013","14","14","0","0","11","1","31.3","38.5","47.7","11.5","Jimbo","Fisher",""
"Florida State","2014","14","13","1","0","1","5","14.2","28.5","45","18.9","Jimbo","Fisher",""
"Florida State","2015","13","10","3","0","10","14","15.8","23.2","38","15","Jimbo","Fisher",""
"Florida State","2016","13","10","3","0","4","8","17.5","24","42.6","18.8","Jimbo","Fisher",""
"Florida State","2017","11","5","6","0","3","","10.1","22.8","33.3","12.5","Jimbo","Fisher",""
"Texas A&M","2018","13","9","4","0","","","17.9","21.6","40.3","19.8","Jimbo","Fisher",""
"Texas A&M","2019","13","8","5","0","12","","12.1","15","34","19.4","Jimbo","Fisher",""
"Texas A&M","2020","10","9","1","0","13","4","14.3","16.2","37.7","21.5","Jimbo","Fisher",""
"Texas A&M","2021","12","8","4","0","6","","12.2","21.1","33.6","14.9","Jimbo","Fisher",""
"Texas A&M","2022","12","5","7","0","6","","3.3","9.1","25.4","16.6","Jimbo","Fisher",""
"Texas A&M","2023","10","6","4","0","23","","11.5","15.6","34.5","18.8","Jimbo","Fisher",""
"Vanderbilt","2020","1","0","1","0","","","-14.4","-16.8","17.7","34.1","Todd","Fitch",""
"Northwestern","2006","12","4","8","0","","","-5.2","-4.9","21.3","25","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2007","12","6","6","0","","","-6.4","-2.4","30.1","31.7","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2008","13","9","4","0","","","3.9","7.3","26.7","19.3","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2009","13","8","5","0","","","-3.1","-4","24.4","27.4","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2010","13","7","6","0","","","-5.8","-1.1","30.9","32.8","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2011","13","6","7","0","","","1.2","0.6","33.3","31.2","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2012","13","10","3","0","","17","8.8","7.2","30.6","24.3","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2013","12","5","7","0","22","","1.5","4.2","29.4","25.9","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2014","12","5","7","0","","","-0.3","1.5","23.7","21.6","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2015","13","10","3","0","","23","3.0","0.2","16.8","15","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2016","13","7","6","0","","","9.9","2.9","27.9","23.5","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2017","13","10","3","0","","17","13.1","11.2","28.8","17.4","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2018","14","9","5","0","","","6.3","1.9","25.5","21.6","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2019","12","3","9","0","","","-3.2","-5.5","16.5","20","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2020","9","7","2","0","","10","12.2","9","24","15.2","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2021","12","3","9","0","","","-7.2","-11.1","19.4","27.3","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2022","0","0","0","0","","","-7.2","-13.4","17","28.6","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Northwestern","2023","2","1","1","0","","","-0.3","-1.3","18.5","18.5","Pat","Fitzgerald","2006-07-07T00:00:00.000Z"
"Western Michigan","2013","12","1","11","0","","","-21.8","-25.5","13.9","38.5","P.J.","Fleck",""
"Western Michigan","2014","13","8","5","0","","","-3.0","-0.8","30.2","31.8","P.J.","Fleck",""
"Western Michigan","2015","13","8","5","0","","","4.3","4.9","36.7","32.2","P.J.","Fleck",""
"Western Michigan","2016","14","13","1","0","","15","13.5","11.5","40","28.9","P.J.","Fleck",""
"Minnesota","2017","12","5","7","0","","","2.8","0.4","23.9","22.1","P.J.","Fleck",""
"Minnesota","2018","13","7","6","0","","","5.5","6.3","28.2","22.8","P.J.","Fleck",""
"Minnesota","2019","13","11","2","0","","10","15.2","19.4","39.8","19.6","P.J.","Fleck",""
"Minnesota","2020","7","3","4","0","19","","0.1","4.7","35.8","30.7","P.J.","Fleck",""
"Minnesota","2021","13","9","4","0","","","6.8","14.4","29.3","15.4","P.J.","Fleck",""
"Minnesota","2022","13","9","4","0","","","10.7","16","23.5","8.6","P.J.","Fleck",""
"Minnesota","2023","13","6","7","0","","","-2.3","0.4","20","21.1","P.J.","Fleck",""
"Rutgers","2012","13","9","4","0","","","4.7","0","19.9","18","Kyle","Flood",""
"Rutgers","2013","13","6","7","0","","","-9.0","-8.1","24","31.6","Kyle","Flood",""
"Rutgers","2014","13","8","5","0","","","0.4","-1.5","32","33.1","Kyle","Flood",""
"Rutgers","2015","12","4","8","0","","","-7.8","-10.1","29.3","37.1","Kyle","Flood",""
"Temple","2018","1","0","1","0","","","3.7","2.9","28.1","23.9","Ed","Foley",""
"Alabama","2001","12","7","5","0","25","","10.4","11.8","32.9","22.7","Dennis","Franchione",""
"Alabama","2002","13","10","3","0","","11","17.7","23.6","37.6","14.4","Dennis","Franchione",""
"Texas A&M","2003","12","4","8","0","","","-7.5","-2.9","38.1","39.4","Dennis","Franchione",""
"Texas A&M","2004","12","7","5","0","","","12.6","18.6","40","24","Dennis","Franchione",""
"Texas A&M","2005","11","5","6","0","17","","4.2","7.3","36.9","29.6","Dennis","Franchione",""
"Texas A&M","2006","13","9","4","0","","","6.0","10.1","33.6","23.6","Dennis","Franchione",""
"Texas A&M","2007","13","7","6","0","25","","5.7","7.6","35.4","28.1","Dennis","Franchione",""
"Texas State","2012","12","4","8","0","","","-10.1","-12.9","26.5","41.8","Dennis","Franchione",""
"Texas State","2013","12","6","6","0","","","-17.7","-13.7","17.1","31.4","Dennis","Franchione",""
"Texas State","2014","12","7","5","0","","","-11.0","-7.4","27.9","35.3","Dennis","Franchione",""
"Texas State","2015","12","3","9","0","","","-22.8","-15.5","26.3","40.5","Dennis","Franchione",""
"Vanderbilt","2011","13","6","7","0","","","7.9","8.1","26.8","17.8","James","Franklin",""
"Vanderbilt","2012","13","9","4","0","","23","10.5","10","26.9","18.8","James","Franklin",""
"Vanderbilt","2013","13","9","4","0","","24","6.5","7.5","29.1","22.2","James","Franklin",""
"Penn State","2014","13","7","6","0","","","1.8","9.2","20.6","11","James","Franklin",""
"Penn State","2015","13","7","6","0","","","4.3","11.3","28.4","19","James","Franklin",""
"Penn State","2016","14","11","3","0","","7","17.5","19","38","20.9","James","Franklin",""
"Penn State","2017","13","11","2","0","6","8","25.6","26","41.5","14.9","James","Franklin",""
"Penn State","2018","13","9","4","0","10","","14.9","19","33.9","14.6","James","Franklin",""
"Penn State","2019","13","11","2","0","15","9","20.0","24.3","37.5","15.7","James","Franklin",""
"Penn State","2020","9","4","5","0","7","","5.3","13.9","35","21","James","Franklin",""
"Penn State","2021","13","7","6","0","19","","14.0","14.3","28","14.6","James","Franklin",""
"Penn State","2022","13","11","2","0","","7","18.6","22.4","36.6","13.9","James","Franklin",""
"Penn State","2023","13","10","3","0","7","13","22.8","23.5","32.7","10.5","James","Franklin",""
"Duke","2001","11","0","11","0","","","-19.8","-23.9","28.8","45.5","Carl","Franks",""
"Duke","2002","12","2","10","0","","","-7.4","-9","25.7","33.5","Carl","Franks",""
"Duke","2003","7","2","5","0","","","-5.1","-4","27.2","31.3","Carl","Franks",""
"Notre Dame","2021","1","0","1","0","9","8","16.4","17.4","36.2","18.9","Marcus","Freeman","2021-12-03T00:00:00.000Z"
"Notre Dame","2022","13","9","4","0","5","18","10.0","10.3","30.5","21.4","Marcus","Freeman","2021-12-03T00:00:00.000Z"
"Notre Dame","2023","13","10","3","0","13","14","18.3","20.1","36.3","16.7","Marcus","Freeman","2021-12-03T00:00:00.000Z"
"Arkansas State","2011","13","10","3","0","","","-0.2","-3.3","23.3","26.2","Hugh","Freeze",""
"Ole Miss","2012","13","7","6","0","","","11.1","14.2","36.9","22.8","Hugh","Freeze",""
"Ole Miss","2013","13","8","5","0","","","12.8","12.4","36.6","23.2","Hugh","Freeze",""
"Ole Miss","2014","13","9","4","0","18","17","21.3","20.7","35.4","14.4","Hugh","Freeze",""
"Ole Miss","2015","13","10","3","0","17","10","18.1","27","43.1","17.4","Hugh","Freeze",""
"Ole Miss","2016","12","5","7","0","11","","6.1","12.4","38.9","27.9","Hugh","Freeze",""
"Liberty","2019","13","8","5","0","","","-6.7","-2.6","29.3","32","Hugh","Freeze",""
"Liberty","2020","11","10","1","0","","17","1.7","6.5","34.2","27.6","Hugh","Freeze",""
"Liberty","2021","13","8","5","0","","","3.4","8.4","32.1","23.1","Hugh","Freeze",""
"Liberty","2022","12","8","4","0","","","-3.5","-1.5","24.1","25.4","Hugh","Freeze",""
"Auburn","2023","13","6","7","0","","","5.3","7.6","26.4","20.1","Hugh","Freeze",""
"Maryland","2001","12","10","2","0","","11","13.3","13.7","40.1","28.9","Ralph","Friedgen",""
"Maryland","2002","14","11","3","0","21","13","15.1","16.6","36.8","22.2","Ralph","Friedgen",""
"Maryland","2003","13","10","3","0","15","17","17.7","20.8","37.6","17.7","Ralph","Friedgen",""
"Maryland","2004","11","5","6","0","22","","3.9","5.1","24.5","20","Ralph","Friedgen",""
"Maryland","2005","11","5","6","0","","","5.3","9","30.3","21.4","Ralph","Friedgen",""
"Maryland","2006","13","9","4","0","","","0.7","4.6","25.2","22.1","Ralph","Friedgen",""
"Maryland","2007","13","6","7","0","","","6.3","5.9","28.5","22.8","Ralph","Friedgen",""
"Maryland","2008","13","8","5","0","","","1.9","7.6","28.8","21.6","Ralph","Friedgen",""
"Maryland","2009","12","2","10","0","","","-5.5","-4.1","21.4","25.5","Ralph","Friedgen",""
"Maryland","2010","13","9","4","0","","23","7.5","11.9","29.9","18.3","Ralph","Friedgen",""
"Georgia Southern","2014","12","9","3","0","","","-0.1","-2.4","32","33.4","Willie","Fritz",""
"Georgia Southern","2015","13","9","4","0","","","4.0","7.3","32.8","26.5","Willie","Fritz",""
"Tulane","2016","12","4","8","0","","","-10.3","-14.6","15.7","28.4","Willie","Fritz",""
"Tulane","2017","12","5","7","0","","","-3.6","-5.7","28.5","35","Willie","Fritz",""
"Tulane","2018","13","7","6","0","","","-5.4","-3.5","23.8","28.3","Willie","Fritz",""
"Tulane","2019","13","7","6","0","","","4.7","7.5","33.1","25.9","Willie","Fritz",""
"Tulane","2020","12","6","6","0","","","","","","","Willie","Fritz",""
"Tulane","2021","12","2","10","0","","","-6.6","-3.9","27.9","30.4","Willie","Fritz",""
"Tulane","2022","14","12","2","0","","9","10.5","12.4","32","19.7","Willie","Fritz",""
"Tulane","2023","13","11","2","0","24","","2.0","2.8","26.5","24.4","Willie","Fritz",""
"UCF","2016","13","6","7","0","","","-1.2","-2.2","19.3","23.3","Scott","Frost",""
"UCF","2017","13","13","0","0","","6","20.7","14.1","40.5","26.9","Scott","Frost",""
"Nebraska","2018","12","4","8","0","","","2.5","5.4","32.7","26.9","Scott","Frost",""
"Nebraska","2019","12","5","7","0","24","","3.2","2.6","32.2","27.4","Scott","Frost",""
"Nebraska","2020","8","3","5","0","","","0.5","7.7","33.7","25.9","Scott","Frost",""
"Nebraska","2021","12","3","9","0","","","7.3","10.3","34.1","21.3","Scott","Frost",""
"Nebraska","2022","3","1","2","0","","","-1.8","-1.2","25.5","25.6","Scott","Frost",""
"Memphis","2012","12","4","8","0","","","-13.9","-10","19.3","29.2","Justin","Fuente",""
"Memphis","2013","12","3","9","0","","","-8.6","-3.2","18","24.3","Justin","Fuente",""
"Memphis","2014","13","10","3","0","","25","7.3","5.6","26.5","22","Justin","Fuente",""
"Memphis","2015","12","9","3","0","","","9.3","8","35.1","30.4","Justin","Fuente",""
"Virginia Tech","2016","14","10","4","0","","16","15.0","15.2","34.5","19.6","Justin","Fuente",""
"Virginia Tech","2017","13","9","4","0","21","24","14.8","14.3","27.8","14.4","Justin","Fuente",""
"Virginia Tech","2018","13","6","7","0","20","","-2.6","3.9","32.8","29.4","Justin","Fuente",""
"Virginia Tech","2019","13","8","5","0","","","4.5","8","29.9","23.3","Justin","Fuente",""
"Virginia Tech","2020","11","5","6","0","","","","","","","Justin","Fuente",""
"Virginia Tech","2021","10","5","5","0","","","1.2","2.4","26.7","25.2","Justin","Fuente",""
"Tennessee","2001","13","11","2","0","8","4","21.3","27","42.4","17.4","Phillip","Fulmer",""
"Tennessee","2002","13","8","5","0","5","","7.9","10.3","28.8","19.4","Phillip","Fulmer",""
"Tennessee","2003","13","10","3","0","12","15","12.6","16.2","35.4","20.6","Phillip","Fulmer",""
"Tennessee","2004","13","10","3","0","14","13","10.8","16.1","38.8","24.7","Phillip","Fulmer",""
"Tennessee","2005","11","5","6","0","3","","4.4","12.3","23.7","11.4","Phillip","Fulmer",""
"Tennessee","2006","13","9","4","0","23","25","15.6","18.9","35.9","18.3","Phillip","Fulmer",""
"Tennessee","2007","14","10","4","0","15","12","11.1","20.2","38.4","19.3","Phillip","Fulmer",""
"Tennessee","2008","12","5","7","0","18","","2.9","12","19.3","6.8","Phillip","Fulmer",""
"Georgia Tech","2002","13","7","6","0","","","5.4","8.2","29","22","Chan","Gailey",""
"Georgia Tech","2003","13","7","6","0","","","6.9","10.1","29.5","20.3","Chan","Gailey",""
"Georgia Tech","2004","12","7","5","0","","","9.4","12.4","30.4","19.1","Chan","Gailey",""
"Georgia Tech","2005","12","7","5","0","","","5.4","6.9","22.7","15.8","Chan","Gailey",""
"Georgia Tech","2006","14","9","5","0","","","7.2","13.5","26.2","13.2","Chan","Gailey",""
"Georgia Tech","2007","12","7","5","0","","","3.8","8.7","28.1","21.3","Chan","Gailey",""
"Troy","2023","1","0","1","0","","","8.7","9.8","30.7","20.1","Greg","Gasparato",""
